,xcode,name,nationality,birthdate,gender,club
2168,7459,GRUMELLI ARBOUCHE Igor,FRA,1998,M,U.S autranaise
2169,3965,GRUNDIG Peter,DDR, ,M, 
2170,8113,GRUNDMANN Paul Justus,GER,26-05-2003,M,Sc Steinbach-hallenberg
2171,6862,GRUSHINA Daria,RUS,1998,F,Saint-Petersburg KOR1  Dinamo
2172,1954,GRUSS Laura,GER,1983,F,SK Winterberg
2173,7589,GRUSZKA Mateusz,POL,04-04-2001,M,Azs Zakopane
2174,2961,GRYBOVICH Vasyl,UKR, ,M, 
2175,7015,GRYCZUK Krystian,POL,1994,M,Luks-Ski Lubawka
2176,2155,GRZYBOWSKI Miroslav,POL,1977,M,KS Bbts Bielsko-Biala
2177,8604,GSTATTER Daniel,GER,2006,M,SC Ruhpolding
2178,8900,GUATEMALA,GUA, ,A, 
2179,8787,GUATEMALA,GUA, ,M, 
2180,8677,GUATEMALA,GUA, ,F, 
2181,9022,GUATEMALA I,GUA, ,A, 
2182,9391,GUATEMALA I,GUA, ,M, 
2183,9141,GUATEMALA I,GUA, ,F, 
2184,9860,GUATEMALA II,GUA, ,A, 
2185,9506,GUATEMALA II,GUA, ,M, 
2186,9623,GUATEMALA II,GUA, ,F, 
2187,9981,GUATEMALA III,GUA, ,A, 
2188,9258,GUATEMALA III,GUA, ,M, 
2189,9740,GUATEMALA III,GUA, ,F, 
2190,6209,GUAY Gavin,USA,1991,M, 
2191,3789,GUEDUROV Georgi,BUL, ,M, 
2192,219727,GUENTHER Lara,GER,2006,F,SV Lok Eilenburg
2193,4201,GUENTHER Toni,GER,1984,M,SCM Zella-Mehlis
2194,2642,GUERTLER Rupert,AUT, ,M, 
2195,7851,GUETL Kilian,AUT,2004,M,TS Ski Nordic 4.0
2196,8575,GUETL Pius,AUT,2007,M,TS Ski Nordic 4.0
2197,6125,GUGG Florian,AUT,1994,M,SG Klagenfurt-Kaernten
2198,3736,GUGGEMOOS Toni,GER, ,M, 
2199,4701,GUGGENBERGER Fabian,AUT,1986,M, 
2200,7294,GUGLIELMETTI Tom,FRA,1998,M,A.S mouthe
2201,2061,GUIGNARD Antoine,SUI,1984,M,Le Brassus
2202,3915,GUILLAUME Bernard,FRA, ,M, 
2203,3046,GUILLAUME Sylvian,FRA, ,M, 
2204,3766,GUINARD F.,SUI, ,M, 
2205,7090,GULETSKIY Roman,RUS,1981,M,Ssg
2206,7163,GULKOV Andrey,RUS,22-03-2001,M,S.Peterburg vyborgskaya sport schoo
2207,3754,GULYAS Rick,CAN, ,M, 
2208,2248,GUMPOLD J.,AUT, ,M, 
2209,5827,GUNA MOCNIK Janez,SLO,1991,M,SK Zagorje
2210,3503,GUNDERSEN Gunder,NOR, ,M, 
2211,2255,GUNDERSEN Thorstein,NOR, ,M, 
2212,8233,GUNDERSRUD Adrian Thon,NOR,29-04-2002,M,Jardar Il
2213,6351,GUNDERSSON Erik,SWE,1995,M,Solleftea Gif
2214,6350,GUNDERSSON Martin,SWE,1993,M,Solleftea Gif
2215,7504,GUNDERSSON Matilda,SWE,2000,F,Solleftea Sgif
2216,219749,GUNDRY Logan,USA,11-12-2002,M,Flying Eagles Ski Club
2217,219744,GUNDRY Stewart,USA,2005,M,Flying Eagles Ski Club
2218,6515,GUNGEN Muhammed Munir,TUR,24-08-1998,M, 
2219,3307,GUNKA Ryszard,POL, ,M, 
2220,5343,GURIN Alexandr,KAZ,1988,M, 
2221,5257,GUSCHL Nico,GER,1991,M,SK Berchtesgaden
2222,6993,GUT Pawel,POL,1997,M,Lks Poroniec poronin
2223,5296,GUT Tomasz,POL,1991,M,KS Start Krokiew Zakopane
2224,5457,GUT CHOWANIEC Leszek,POL,1992,M,"LKS ""poroniec"" Poronin"
2225,6130,GUT-CHOWANIEC Michal,POL,1995,M,LKS Poroniec Poronin
2226,5878,GUTH Maximilian,GER,1996,M,Wsv Gruena
2227,6603,GUTKNECHT Niklas,SUI,1992,M,SC Einsiedeln
2228,8311,GUTKNECHT Nora,SUI,2006,F,Am Bachtel
2229,3288,GUY Fabrice,FRA, ,M, 
2230,5094,GUY Samuel,FRA,1990,M,Mouthe
2231,8237,GUYOT Louise,FRA,2000,F,Ski Morbier bellefontaine morez
2232,2156,GWOZDZ Marek,POL,1977,M,KS Bbts Belsko-Biala
2233,6611,GYTH-DEHLI Ole Fredrik,NOR,1992,M,Botne Skiklubb
2234,5113,HA Sung-Jo,KOR,1984,M,Muju Resort
2235,7179,HAAGEN David,AUT,06-04-2002,M,ESV Muerzzuschlag
2236,8298,HAAGEN Lukas,AUT,2006,M,Eisenbahner Sv muerzzuschlag
2237,7177,HAAGEN Philipp,AUT,1999,M,ESV Muerzzuschlag-Steiermark
2238,2258,HAANES Sigurd,NOR, ,M, 
2239,3316,HAARALA Marko,FIN, ,M, 
2240,7193,HAARE Anders,NOR,07-12-1999,M,Vikersund IF
2241,7677,HAAS Claudio,GER,13-03-2001,M,Sc Schonach
2242,7664,HAASCH Cindy,GER,2004,F,Tsg Ruhla
2243,8246,HAAVE Henrik,NOR,03-02-2000,M,Nordre Land il
2244,8378,HAAVI Morten Haug,NOR,2003,M,Raufoss Il
2245,7600,HABDAS Jan,POL,2003,M,Lks Klimczok bystra
2246,5722,HABERSATTER JUN. Walter,AUT,1952,M, 
2247,3467,HABERSATTER SEN. Walter,AUT,1930,M, 
2248,3508,HABERSTOCK Alois,GER,2006,M, 
2249,4392,HABUKI Yuya,JPN,1977,M, 
2250,5210,HACEK Vit,CZE,1994,M, 
2251,3844,HACKL Heiko,GER,30-10-1991,M,WSVHarzgerode
2252,5163,HACZKO Artur,POL,1970,M, 
2253,8596,HAECKEL Anne,GER,2005,F,VSC Klingenthal
2254,5553,HAECKERT Melanie,GER,1994,F,VSC Klingenthal
2255,1911,HAEFELE Anna,GER,1989,F,SC Willingen
2256,3855,HAENEL Christoph,GER,1989,M,SG Nickelhuette Aue
2257,2145,HAERE Frode,NOR,1972,M,Nedre Sigdal I. L.
2258,8488,HAERTER Rachael,USA,2004,F,Park City ski and snowboard
2259,6591,HAEUSLER Philipp,AUT,1993,M, 
2260,3044,HAFELE Mathias,AUT,1983,M, 
2261,7761,HAFNAR Mark,SLO,11-04-2002,M,Sk Triglav kranj
2262,9346,HAFNER Fabian,AUT,2001,M,SV Villach
2263,7254,HAFSLUND Oscar Alexander,NOR,1997,M,Norbygda/Loeten ski
2264,6577,HAGEHAUGEN Sigmund,NOR,1991,M,Gausdal Skilag
2265,5986,HAGEHAUGEN Trond,NOR,1989,M,Gausdal Sk
2266,6169,HAGEMOEN Bjoern Einar,NOR,1991,M,Gausdal Skilag
2267,6352,HAGEMOEN Jenny Synnoeve,NOR,1993,F,Gausdal Skilag
2268,6247,HAGEMOEN Leif Marius,NOR,1995,M,Gausdal Skilag
2269,8398,HAGEN Flemming Dolonen,NOR,16-12-2000,M,Heradsbygda
2270,8384,HAGEN Ida Marie,NOR,18-08-2000,F,Haslum
2271,2921,HAGEN Kjell-Jonny,NOR,1975,M, 
2272,4702,HAGER Stefan,AUT,1987,M, 
2273,2225,HAGIHARA Kenta,JPN,1986,M, 
2274,4412,HAGIWARA Takanori,JPN,1973,M, 
2275,8432,HAHN Dominik,GER,23-03-1995,M, 
2276,6651,HAHN Julian,GER,1997,M,SG Nickelhuette Aue
2277,5537,HAHN Maximilian,GER,1994,M,WSV Oberhof 05
2278,3883,HAHN Wolfgang,GER, ,M, 
2279,7347,HAHNE Benedikt,GER,2000,M,Sc Ruhpolding
2280,7346,HAHNE Tim,GER,1998,M,SC Ruhpolding
2281,3741,HAID Wilhelm,GER, ,M, 
2282,4097,HAIM Albert,AUT, ,M, 
2283,3947,HAIM Harald,AUT, ,M, 
2284,2491,HAIM Werner,AUT,1968,M, 
2285,8901,HAITI,HAI, ,A, 
2286,8788,HAITI,HAI, ,M, 
2287,8678,HAITI,HAI, ,F, 
2288,9023,HAITI I,HAI, ,A, 
2289,9392,HAITI I,HAI, ,M, 
2290,9142,HAITI I,HAI, ,F, 
2291,9861,HAITI II,HAI, ,A, 
2292,9507,HAITI II,HAI, ,M, 
2293,9624,HAITI II,HAI, ,F, 
2294,9982,HAITI III,HAI, ,A, 
2295,9259,HAITI III,HAI, ,M, 
2296,9741,HAITI III,HAI, ,F, 
2297,4593,HAJEK Antonin,CZE,1987,M,Dukla Liberec
2298,2492,HAKALA Vaesa,FIN,1968,M, 
2299,2095,HAKOLA Lauri,FIN,1979,M,Puijon Hiihtoseura
2300,7791,HALEC MAKOVEC Jan,SLO,26-07-1997,M,Ssk Ilirija
2301,8387,HALFDANSEN Herman Blikken,NOR,02-04-2003,M,Gjerpenkollen Hoppklubb
2302,8429,HALLA Christina,AUT,2006,F,Skisprungclub Wiener stadtadler
2303,8573,HALLER Gabriel,ITA,2007,M,A.S.V. RIDNAUN VOLKSBANG
2304,6607,HALLIN Jacob,SWE,1998,M,If Friska viljor
2305,6372,HALLSTREOM Janken,SWE,1935,M,Sveriges Backhoppar veteraner
2306,2615,HALONEN Anna,SWE,1986,F, 
2307,2295,HALONEN N.,FIN,1940,M, 
2308,2182,HALVARDSSON Jan,SWE,1976,M,Sysslebäck I. F.
2309,2853,HALVORSEN Eirik,NOR,1975,M,Konnerud
2310,5385,HALVORSEN Espen Enger,NOR,1990,M,Eidsvold Vaerks Skiklubb
2311,3386,HALVORSEN Finn,NOR,1947,M,Vaaler
2312,2099,HALVORSEN Joergen,NOR,1974,M, 
2313,3014,HALVORSEN Roger,NOR, ,M, 
2314,6551,HAMANN Martin,GER,10-04-1997,M,SG Nickelhuette Aue
2315,5653,HAMELIN Benoit,FRA,1977,M,Autrans
2316,3346,HAMLER Pat,USA, ,M, 
2317,7085,HAMMANN Petrick,GER,1995,M,Sv Baiersbronn
2318,3324,HAMMEL Mark,USA, ,M, 
2319,3030,HAMMER Kristian,NOR,1976,M,Eidsvoll Verk
2320,5294,HAMMER Tord Markussen,NOR,1988,M,Tromsoe Skiklubb
2321,3743,HAMMERNES Odd,NOR,1948,M,Asker
2322,5860,HAMMERSCHMIDT Florian,GER,1992,M,Wsv 08 lauscha
2323,6028,HAMMILL Zachary,USA,1991,M, 
2324,6021,HAMMILL Zachery,USA,1991,M,Kiwanis Ski Club
2325,7572,HAMMING Eleora,CAN,1999,F,Altius Nordic ski club
2326,2603,HANADA Toshihiro,JPN, ,M, 
2327,4342,HANAOKA Masato,JPN,1984,M, 
2328,7558,HANATANI Yuya,JPN,1999,M, 
2329,5375,HANCHAROU Aleksandr,BLR,1989,M, 
2330,5376,HANCHAROU Serhei,BLR,1990,M, 
2331,219672,HANCKE-FRAMSTAD Petter,NOR,2007,M,Kollenhopp
2332,6111,HANF Paul,GER,1995,M,Wsv Warmensteinach
2333,7826,HANKOVA Natalia,SVK,2001,F,Sk Kartik banska bystrica
2334,2574,HANKUS Slowomir,POL,1986,M,LKS Klimczok Bystra
2335,2000,HANNAWALD Sven,GER,1974,M,SC Hinterzarten
2336,6854,HANNIGAN Adrian,CAN,1998,M,Altius Nordic SC
2337,6306,HANNIGAN Alexander,CAN,1996,M,Altius Nordic ski club
2338,6444,HANNON Theo,FRA,1993,M,Bois D amont
2339,3444,HANNULA Seppo,FIN, ,M, 
2340,6257,HANSEN Eirik-Andre,NOR,1992,M, 
2341,8383,HANSEN Gyda Westvold,NOR,20-04-2002,F,Il Nansen
2342,4233,HANSEN Kim-Roar,NOR,1984,M,"Lier IL, Buskerudhopp"
2343,2861,HANSEN Paal,NOR, ,M, 
2344,2572,HANSJOERG Sumi,SUI, ,M, 
2345,5112,HANSON Breanne,USA,1989,F,National Sports Foundation
2346,5018,HANSON Josh,USA,1989,M,UOP Sports Clubs
2347,2365,HANSSON Olav,NOR,1957,M,Roea
2348,8320,HAO Yanjie,CHN,27-04-2002,F, 
2349,3465,HAPPLE Wolfgang,GER, ,M, 
2350,3012,HAPPONEN Janne,FIN,1984,M,Puijon Hiihtoseura
2351,2889,HAPPONEN Olli,FIN, ,M, 
2352,2089,HAPPONEN S.,FIN, ,M, 
2353,2019,HARADA Masahiko,JPN,1968,M,Snow Brand
2354,4277,HARADA Mikihiro,JPN,1985,M, 
2355,4489,HARADA Toshitada,JPN,1981,M, 
2356,5237,HARADA Yumu,JPN,15-09-1990,M,Megmilk Snow Brand Ski Team
2357,6563,HARALAMBIE Daniela,ROU,14-08-1997,F,CS Dinamo Buc-Centrul Sportiv Bv
2358,4466,HARASE Fumiyasu,JPN,1980,M, 
2359,8406,HARAT Jakub,POL,25-11-2001,M,Lks Klimczok bystra
2360,4808,HARATA Akira,JPN,1981,M, 
2361,4809,HARAYAMA Takeshi,JPN,1982,M, 
2362,3244,HARDER Grant,CAN, ,M, 
2363,3690,HARKINS Ken,USA, ,M, 
2364,5384,HARRANG SAETHER Steffen,NOR,1988,M,Byaasen Ski Klubb
2365,4680,HARRIS Samuel,CAN,1991,M,Altius Nordic Ski Club
2366,4565,HARRIS Spencer,CAN,1978,M, 
2367,4566,HARRIS Wesley,CAN,1984,M, 
2368,8155,HARSCHE Katarzyna,POL,2001,F,Zkn Sokol
2369,8420,HARTIKAINEN Heikki,FIN,18-08-1990,M,Jyvaskyla Ski club
2370,5832,HARTMAN Jan,SLO,1993,M,SK Triglav Kranj
2371,3983,HARTMANN Wolfgang,GER, ,M, 
2372,5044,HARUME Yoshitaka,JPN,1987,M, 
2373,4267,HASEBE Daiki,JPN,1984,M, 
2374,2229,HASEGAWA So,JPN,1980,M, 
2375,4810,HASEGAWA Takahiro,JPN,1981,M, 
2376,7235,HASELWANTER Johanna,AUT,1999,F,Nordic Team Absam
2377,5249,HASENMUELLER Antonia,GER,1991,F,SC Partenkirchen
2378,4251,HASHIMOTO Katsuyori,JPN,1983,M, 
2379,2765,HASHIMOTO Taivuni,JPN, ,M, 
2380,2250,HASHIMOTO Tsubasa,JPN,1986,M, 
2381,2896,HASJIMOTO Terumi,JPN, ,M, 
2382,2710,HASSELBERGER Thomas,GER, ,M, 
2383,219676,HASSRICK Estella,USA,2006,F, 
2384,7775,HAST Marius Aas,NOR,18-11-1999,M,Mysen If
2385,2893,HASTINGS Chris,USA,1964,M, 
2386,2371,HASTINGS Jeff,USA,1959,M, 
2387,4308,HATAKEYAMA Arata,JPN,1985,M, 
2388,4811,HATAKEYAMA Chota,JPN,1987,M, 
2389,5238,HATAKEYAMA Shuu,JPN,1991,M, 
2390,4493,HATAKEYAMA Takuhiro,JPN,1979,M, 
2391,4518,HATAKEYAMA Yosuke,JPN,1980,M, 
2392,6283,HATAKEYAMA Yosuke,JPN,1980,M, 
2393,4479,HATAYAMA Hironori,JPN,1979,M, 
2394,7440,HATLE Filip,CZE,1990,M,Lsk Lomnice nad popelkou
2395,3081,HAUBER Benjamin,GER,1981,M,WSV Isny
2396,5974,HAUER Joachim,NOR,1991,M,Baekkelagets SK
2397,4931,HAUER Nicole,GER,09-03-1987,F,WSV DJK Rastbuechl
2398,2204,HAUG Thorleif,NOR, ,M, 
2399,5508,HAUG Tobias,GER,1993,M,SV Baiersbronn
2400,3867,HAUGE Rune,NOR, ,M, 
2401,2203,HAUGEN Anders,USA, ,M, 
2402,5165,HAUGEN Arne,USA,1951,M, 
2403,8030,HAUGENG Simen Meen,NOR,15-01-2000,M,Fossum IF
2404,7595,HAUKE Camillo,GER,03-10-2000,M,Sc Traktor oberwiesenthal
2405,6625,HAUKEDAL Richard,NOR,31-08-1996,M,Baekkelagets SK
2406,8061,HAULER Valentin,AUT,2001,M,Sg Klagenfurt
2407,5097,HAUPT Alexander,USA,1986,M,National Sports Foundation
2408,6325,HAUPT Alexander,USA,1988,M,UOP Sports Clubs
2409,7688,HAUSENBERG Triinu,EST,05-10-2002,F,Andsumae Skiclub
2410,4051,HAUSER Heinz,GER, ,M, 
2411,8270,HAUSER Krystof,CZE,29-12-2002,M,TJ Dukla Liberec
2412,3723,HAUSER Peter,GER, ,M, 
2413,8402,HAUSER Stefan,AUT,1997,M,Sc Mayrhofen
2414,7690,HAUSTEIN Sarina,GER,2004,F,Wsv Gruena
2415,3278,HAUSWIRTH Benz,SUI, ,M, 
2416,2070,HAUSWIRTH Bruno,SUI,1983,M,SC Gstaad
2417,2496,HAUSWIRTH Christian,SUI,1965,M, 
2418,6424,HAUSWIRTH Kilian,SUI,1993,M,Gstaad
2419,7105,HAUSWIRTH Lars,SUI,2000,M,Gstaad
2420,6999,HAUSWIRTH Sandro,SUI,29-08-2000,M,Gstaad
2421,3025,HAUTA Jyrki,FIN, ,M, 
2422,6769,HAUTAMAEKI Jaakko,FIN,1997,M,Ounasvaaran Hiihtoseura
2423,1990,HAUTAMAEKI Jussi,FIN,1979,M,Puijon Hiihtoseura
2424,1991,HAUTAMAEKI Matti,FIN,1981,M,Puijon Hiihtoseura
2425,5969,HAVUKAINEN Kim,FIN,1991,M,Kiteen Urheilijat
2426,6358,HAYASHI Tatsuya,JPN,1991,M, 
2427,5495,HAYBOECK Alexander,AUT,1995,M,UVB Hinzenbach-Oberoesterreich
2428,5288,HAYBOECK Michael,AUT,05-03-1991,M,UVB Hinzenbach-Oberoesterreich
2429,5037,HAYBOECK Stefan,AUT,1989,M,UVB Hinzenbach
2430,8430,HAYDT Nicolas,GER,26-04-1993,M, 
2431,3699,HAYDT Wilhelm,GER, ,M, 
2432,5466,HAZETDINOV Ilmir,RUS,28-10-1991,M,SDUSHOR 33 MOSKOVSKAYA OBLAST - RES
2433,8172,HEAD Gavin,CAN,2004,M,Altius Nordic ski club
2434,6746,HEBEL Sebastian,POL,1995,M,SSR LZS Sokol Szczyrk
2435,8085,HEBERLE Nik,SLO,2005,M,Ssd Stol zirovnica
2436,3015,HECOX Rhys,USA, ,M, 
2437,5147,HECZKO Artur,POL,1989,M,LKS Klimczok Bystra
2438,3666,HEDBERG Torbjörn,SWE, ,M, 
2439,5592,HEDLUND Tobias,SWE,1991,M,Holmens IF
2440,5135,HEER Ronny,SUI,1981,M,SC Horw
2441,2849,HEGENBARTH Olaf,GER, ,M, 
2442,5080,HEGER Per Sannes,NOR,1988,M,Heming IL
2443,9341,HEGGLI Bendik Jakobsen,NOR,14-10-2001,M,Byaasen IL
2444,5687,HEHLE Andreas,GER,1988,M,Wsv Isny
2445,5636,HEIDE Raiko,EST,1990,M,Skiclub Nomme
2446,5258,HEIDLER Julian,GER,1990,M,SC Königsbronn
2447,3145,HEIESTAD Bengt,NOR, ,M, 
2448,3569,HEIGENHAUSER Wald.,AUT, ,M, 
2449,2790,HEIKKELAE Jarkko,FIN, ,M, 
2450,6016,HEIKKINEN Juuso,FIN,1994,M,Ounasvaaran Hiihtoseura
2451,7885,HEIKKINEN Kalle,FIN,16-09-1999,M,Kuusamon Era-veikot
2452,6605,HEIKKINEN Noora,FIN,1992,F,Puijon Hiihtoseura
2453,6082,HEIKKINEN Ville,FIN,1995,M,Kuusamon Erae-veikot
2454,4548,HEIKKONEN Jarkko,FIN,1985,M,Harjavallan Jymy
2455,3538,HEILINGBRUNNER Edi,GER, ,M, 
2456,3663,HEIM Albert,AUT, ,M, 
2457,5929,HEIM Christian,GER,1993,M,SC Auerbach
2458,219616,HEIMDAHL Magnus,NOR,2003,M,IL Kolbukameratene
2459,2825,HEIMDAL Oddgeir,NOR, ,M, 
2460,6121,HEIMGARTNER Raphael,SUI,1994,M,Sc Am bachtel wald
2461,2946,HEIN Jouko,EST,1980,M,Skiclub Telemark
2462,3739,HEINDL Hermann,AUT, ,M, 
2463,6378,HEINLOO Peep,EST,1965,M,Nomme Skiclub
2464,2646,HEINONEN Kari,FIN, ,M, 
2465,2280,HEINONEN V.,FIN, ,M, 
2466,5862,HEINRICH Marko,GER,1993,M,Wsv Schmiedefeld
2467,3092,HEINRICH Robert,GER,1982,M,WSV Steinbach
2468,6062,HEINRICH Tim,GER,1995,M,Wsv Schmiedefeld
2469,6064,HEINZ Henrik,GER,1995,M,Swv Goldlauter
2470,4202,HEINZMANN Bernd,GER,1985,M,SC Degenfeld
2471,5011,HEINZMANN Sabine,GER,1988,F, 
2472,5397,HEISKANEN Sami,FIN,1991,M,Puijon Hiihtoseura
2473,219669,HELD Fabian,AUT,2006,M,SG Klagenfurt
2474,3530,HELDAHL Guttorm,NOR, ,M, 
2475,4956,HELGESEN Haakon,NOR,1986,M,Gjerstad IL
2476,5077,HELLAND Morten Andre,NOR,1977,M,Lyn Ski
2477,3931,HELLER Erik,GER,1990,M,VSC Klingenthal
2478,6400,HELLERUD Andreas Myhre,NOR,1992,M,Magnor
2479,7283,HELMINGER Adam,GER,2000,M,Sc Ruhpolding
2480,2570,HENAUER Kurt,SUI, ,M, 
2481,3803,HENDEN Arnfinn,NOR, ,M, 
2482,5223,HENDRICKSON Nick,USA,1991,M,University of Utah Ski Team
2483,5999,HENDRICKSON Sarah,USA,1994,F,Park City Ski and Snowboard
2484,3956,HENNIG Ronny,GER,1990,M,VSC Klingenthal
2485,6099,HENNINGSEN Alexander,NOR,1994,M,Tromso Skiklubb
2486,3138,HENNUM Frode,NOR, ,M, 
2487,6090,HENRICH Taylor,CAN,1995,F,Altius Nordic Ski Club
2488,4749,HENRIKSSON Marcus,SWE,1985,M,Sysslebaeck
2489,5216,HENTSCHEL Jasmin,GER,1987,F,SK Meinerzhagen
2490,3825,HENYEL Gyula,HUN,2008,M, 
2491,7832,HERASYMIUK Vitalina,UKR,2003,F,COP of Winter Sports
2492,8623,HERASYMIUK Vladyslav,UKR,2002,M,Kremenets Ski School
2493,8083,HERBSTRITT Teodor Igor,SLO,2005,M,SSK Sam Ihan
2494,1956,HERMANN Carmen,GER,1989,F, 
2495,6661,HERMANN Felix,GER,1997,M,Sg Nickelhuette aue
2496,5570,HERMANN Martin,GER,1992,M,SC Furtwangen
2497,2137,HERMANN Nico,GER,1989,M,SC Partenkirchen
2498,3167,HERMANNSKY Lukas,CZE, ,M, 
2499,7864,HERMANOVA Petra,CZE,2002,F,Lk Osek
2500,6950,HERMANSON Ivo-Niklas,EST,2000,M,Nomme Sportclub
2501,6017,HEROLA Ilkka,FIN,1995,M,Puijon Hiihtoseura
2502,6776,HEROLA Matti,FIN,1993,M,Puijo Ski club
2503,2004,HERR Alexander,GER,1978,M,SC Villingen
2504,8115,HERR Maximilian,GER,2005,M,Skiteam Schonach-rohrhardsberg
2505,3315,HERREM Kare,NOR, ,M, 
2506,5901,HERRMANN Michael,GER,1994,M,Sc Oberstdorf
2507,3552,HERZ Otto,GER, ,M, 
2508,5595,HERZOG Kevin,AUT,1993,M, 
2509,7236,HERZYK Marcelina,POL,2000,F,KS Wisla Wisla
2510,5691,HESS Ivo,SUI,1991,M,SC Unterschaechen
2511,7000,HESS Jakob,SUI,1999,M,Nordic Engelberg
2512,6548,HESSLER Pauline,GER,13-09-1998,F,WSV 08 Lauscha
2513,8205,HETTICH Tim,GER,03-05-2002,M,Ski Team schonach rohrhardsberg
2514,2480,HEUMANN Josef,GER,1964,M, 
2515,7867,HEUMANN Lucas,GER,2004,M,Wsv Oberaudorf
2516,8143,HEUMANN Niclas,GER,1999,M,Wsv Oberaudorf
2517,4021,HEUNH Chul-Choi,KOR, ,M, 
2518,3549,HEXER Lothar,GER, ,M, 
2519,3560,HEYER Lothar,GER, ,M, 
2520,3327,HIATT Erik,USA, ,M, 
2521,3439,HICKS Dave,USA, ,M, 
2522,3953,HIEMER Andreas,GER, ,M, 
2523,3270,HIGASHI Akihiro,JPN, ,M, 
2524,2119,HIGASHI Akira,JPN,1972,M,Nippon Kucho Service Ski Team
2525,2397,HIGASHI Kazuhiro,JPN, ,M, 
2526,3246,HIGASHINO Masayoshi,JPN, ,M, 
2527,7303,HIGASHIZAWA Yuki,JPN,20-05-1998,M, 
2528,8150,HIGHFILL Jillian,USA,2004,F,Park City Ski and Snowboard
2529,4018,HIGUCHI Daijiro,JPN,1985,M, 
2530,4031,HIGUCHI Taichi,JPN,1983,M, 
2531,4001,HILBEL Hans-Peter,AUT, ,M, 
2532,4908,HILDE Terje,NOR,1986,M,Asker Skiklubb
2533,5064,HILDE Tom,NOR,1987,M,Asker Skiklubb
2534,2435,HILLE A.,GER, ,M, 
2535,8595,HILLMER Julian,GER,2007,M,SC Degenfeld
2536,4927,HILS Karina,GER,1987,F,SV Meßstetten
2537,3223,HILS Norbert,GER, ,M, 
2538,4763,HINKLEY Jed,USA,1900,M, 
2539,6707,HINTERBERGER Fabian,AUT,17-03-2000,M,SC Hoehenhart
2540,4703,HINTERBERGER Patrick,AUT,1985,M, 
2541,4542,HINTERSCHWEIGER Christian,AUT,1984,M, 
2542,6575,HINTSALA Harri,FIN,1991,M,Ounasvaaran Hiihtoseura
2543,2303,HIRABAYASHI Shuta,JPN,1990,M, 
2544,6295,HIRAKAWA Takuya,JPN,1991,M, 
2545,4812,HIRAMA Daisuke,JPN,1981,M, 
2546,4396,HIRAMOTO Gaku,JPN,1987,M, 
2547,2395,HIRAMOTO Yohsuke,JPN,1989,M, 
2548,4261,HIRANO Toshiro,JPN,1983,M, 
2549,4346,HIRASE Masato,JPN,1988,M, 
2550,2398,HIRATA Akihiro,JPN,1983,M, 
2551,8541,HIRATA Yuri,JPN,2003,M,Hakuba High School
2552,5204,HIRAYAMA Yurika,JPN,16-11-1990,F,HITOWA Holdings
2553,2689,HIRNER Adolf,AUT, ,M, 
2554,7933,HIRNER Lisa,AUT,2003,F,SC Erzbergland
2555,4543,HIRNER Martin,AUT,1986,M, 
2556,2898,HIRNER Rupert,AUT, ,M, 
2557,4280,HIROSHIMA Yasuyuki,JPN,1983,M, 
2558,6059,HIRSCH Torben,GER,1993,M,Sc Willingen
2559,7706,HIRSCHER Thomas,AUT,2000,M,SC Bischofshofen
2560,219764,HITZINGER Kathrin,GER,2003,F,WSV DJK Rastbuchl
2561,4582,HIUKKA Tommi,FIN,1985,M,Lahden Hiihtoseura
2562,5620,HIZAR Niko,SLO,1993,M,SSK Velenje
2563,3293,HJEMSETER Arne J,NOR, ,M, 
2564,7876,HLADNIK Matic,SLO,18-10-2002,M,ND Ratece Planica
2565,1987,HLAVA Jakub,CZE,1979,M,Dukla Liberec
2566,3090,HLAVA Lukas,CZE,1984,M,TJ Dukla Liberec
2567,5751,HLEBANJA Ales,SLO,18-04-1993,M,ND Ratece - Planica
2568,2549,HLYVKA Vladymyr,UKR,1973,M, 
2569,3084,HNYK Zdenek,CZE, ,M, 
2570,4015,HOCKE Stephan,GER,1983,M,WSV Schmiedefeld
2571,4924,HOCKING Ray,USA,1982,M, 
2572,7744,HOEFLER Tucker,USA,1998,M,Uop Sports Clubs
2573,6897,HOEGBERG Mariana,SWE,1998,F,Sollefteaa Goif
2574,7479,HOEGDEN Harald Deraas,NOR,1999,M,Namdalseid Il
2575,219659,HOEGER Magda,GER,2007,F,WSV Reit im Winkl
2576,2217,HOEGVOLD Lars,NOR, ,M, 
2577,4139,HOEHER Philipp,AUT,1984,M, 
2578,2331,HOEHNL Rudolf,CZE,1946,M, 
2579,8389,HOEINES Kristian Amundsen,NOR,2004,M,Pors
2580,2279,HOEL Arne,NOR,1927,M, 
2581,219673,HOEL John Helge Dalbak,NOR,2005,M,Aurskog/Finstadbru SK
2582,1970,HOELLWARTH Martin,AUT,1974,M,SC Mayrhofen
2583,6570,HOELZL Chiara,AUT,18-07-1997,F,SV Schwarzach-Salzburg
2584,5554,HOEPPNER Lucienne,GER,1994,F,SV Stützengrün
2585,7450,HOERL Jan,AUT,16-10-1998,M,SC Bischofshofen
2586,2085,HOERL Thomas,AUT,1981,M,SC Saalfelden
2587,219747,HOERMANN Matthias,AUT,2004,M,SV Innsbruck-Bergisel
2588,5593,HOERNBLAD Franz,SWE,1990,M,Friska Viljor
2589,4081,HOERTERER Toni,GER, ,M, 
2590,8274,HOESLI Janne,SUI,2006,M,Am Bachtel
